"variable" "relative_importance" "scaled_importance" "percentage"
"68" "PGAP1" 0.960729837417603 0.960729837417603 0.00206998621766842
"69" "SLITRK5" 0.960507273674011 0.960507273674011 0.00206950668235699
"70" "AEBP1" 0.959908127784729 0.959908127784729 0.00206821576405209
"71" "FGA" 0.959859192371368 0.959859192371368 0.00206811032792711
"72" "COL14A1" 0.959640383720398 0.959640383720398 0.00206763888332929
"73" "ROS1" 0.959424138069153 0.959424138069153 0.00206717296096457
"74" "RABL3" 0.959225118160248 0.959225118160248 0.00206674415314323
"75" "DSG3" 0.959128379821777 0.959128379821777 0.00206653572094975
"76" "B3GALT2" 0.959092080593109 0.959092080593109 0.00206645751071819
"77" "ARHGAP29" 0.958823204040527 0.958823204040527 0.0020658781899389
"78" "LGALS2" 0.958568930625916 0.958568930625916 0.00206533033304587
"79" "SYT1" 0.958107948303223 0.958107948303223 0.00206433710163221
"80" "DDX43" 0.958038330078125 0.958038330078125 0.00206418710237036
"81" "CD37" 0.958031952381134 0.958031952381134 0.00206417336099963
"82" "ATG10" 0.957833886146545 0.957833886146545 0.0020637466079627
"83" "IGFBP1" 0.957717061042786 0.957717061042786 0.00206349489687261
"84" "IGSF6" 0.957603752613068 0.957603752613068 0.00206325076280002
"85" "PIK3C2G" 0.95745986700058 0.95745986700058 0.00206294074720233
"86" "ENPP2" 0.957287847995758 0.957287847995758 0.00206257011546457
"87" "GNPTAB" 0.957283616065979 0.957283616065979 0.00206256099735876
"88" "HBB" 0.957117795944214 0.957117795944214 0.00206220372171966
"89" "SLC39A6" 0.95692640542984 0.95692640542984 0.00206179135217359
"90" "SOSTDC1" 0.956729292869568 0.956729292869568 0.00206136665392107
"91" "GAP43" 0.956652462482452 0.956652462482452 0.00206120111535213
"92" "MEOX2" 0.95627099275589 0.95627099275589 0.00206037920158857
"93" "BBS7" 0.955397069454193 0.955397069454193 0.00205849624852585
"94" "RYR2" 0.955277562141418 0.955277562141418 0.0020582387583546
"95" "ST6GALNAC5" 0.955152034759521 0.955152034759521 0.00205796829735678
"96" "SLC1A2" 0.955069780349731 0.955069780349731 0.00205779107220151
"97" "CCL8" 0.954893112182617 0.954893112182617 0.00205741042338976
"98" "PCSK2" 0.954742133617401 0.954742133617401 0.00205708512533302
"99" "LRP2" 0.954551160335541 0.954551160335541 0.00205667365475514
"100" "MEP1B" 0.954544603824615 0.954544603824615 0.00205665952811233
"101" "BMP5" 0.954515933990479 0.954515933990479 0.00205659775615603
"102" "SPINK4" 0.95383894443512 0.95383894443512 0.00205513911607375
"103" "SI" 0.953585207462311 0.953585207462311 0.00205459241499696
"104" "REG1B" 0.953163325786591 0.953163325786591 0.00205368342974406
"105" "CATSPERB" 0.95276665687561 0.95276665687561 0.00205282876785398
"106" "CTSO" 0.952008664608002 0.952008664608002 0.00205119559952097
"107" "DENND4A" 0.951782643795013 0.951782643795013 0.00205070861561606
"108" "RAB23" 0.951758861541748 0.951758861541748 0.00205065737442986
"109" "GAS2" 0.951741337776184 0.951741337776184 0.00205061961776635
"110" "AMBP" 0.951698780059814 0.951698780059814 0.0020505279230121
"111" "SLC9A2" 0.951449990272522 0.951449990272522 0.00204999188112942
"112" "REG1A" 0.951175510883331 0.951175510883331 0.00204940048849173
"113" "CD226" 0.951160490512848 0.951160490512848 0.00204936812563729
"114" "GREM1" 0.950998723506927 0.950998723506927 0.00204901958283193
"115" "CORO2B" 0.950932741165161 0.950932741165161 0.00204887741743564
"116" "FLRT2" 0.950835466384888 0.950835466384888 0.00204866782942593
"117" "CNGA1" 0.950718998908997 0.950718998908997 0.00204841688887999
"118" "F11" 0.950410902500153 0.950410902500153 0.00204775306509188
